element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl
Th,2,4900.5212,0.0005,4900.52153,0.00012
Ti,1,4901.277,0.003,4901.2770,0.0012
La,2,4901.29,0.10,4901.28+,0.03
V,1,4901.375,0.006,4901.3801,0.0012
Ti,1,4901.394,0.006,4901.3899,0.0007
Er,2,4901.45,0.10,,
Y,1,,,4901.4526,0.0010
Th,2,4901.5464,0.0019,4901.54158,0.00014
V,1,4901.789,0.002,4901.7899,0.0012
Ti,1,4901.952,0.003,4901.9534,0.0007
V,1,4901.9945,0.0015,4901.9944,0.0007
Fe,1,4902.190,0.005,4902.1903,0.0008
Ni,1,,,4902.339,0.010
Ti,1,4902.365,0.003,4902.3709,0.0007
Nd,2,4903.410,0.010,4903.405+,0.003
Cr,1,4903.43,0.06,4903.340,0.003
Fe,1,4903.532,0.004,4903.5345,0.0003
Ba,1,4904.217,0.010,4904.217+,0.003
Ru,1,4904.42,0.10,4904.43+,0.03
Th,2,4904.4991,0.0007,4904.49892,0.00012
Cr,1,4904.6035,0.0015,4904.6064,0.0022
Fe,1,4904.6790,0.0007,4904.6788,0.0003
Th,2,4904.681,0.003,4904.69348,0.00022
Ti,1,4905.106,0.003,4905.1034,0.0007
V,1,4905.6670,0.0015,4905.6670,0.0010
Ni,1,4905.78,0.10,4905.781,0.010
V,1,4905.8042,0.0015,4905.8037,0.0012
V,1,4906.329,0.003,4906.3233,0.0012
Cr,1,4906.420,0.020,4906.4227,0.0024
Fe,1,4906.5021,0.0019,4906.5022,0.0003
Fe,1,4906.586,0.004,4906.5879,0.0003
Cr,1,4906.74,0.03,4906.7355,0.0005
Th,2,4907.434,0.003,4907.43616,0.00024
Y,1,4907.478,0.010,4907.4774,0.0013
V,1,4908.226,0.004,4908.2257,0.0014
Ho,2,4908.36,0.10,,
Fe,1,4909.1018,0.0007,4909.1018,0.0003
Ru,1,4909.26,0.10,4909.26+,0.03
Na,2,4909.30,0.10,,
Fe,1,4909.4001,0.0019,4909.4012,0.0003
Ti,1,4909.819,0.003,4909.8195,0.0007
